"SampleID"	"SampleIDExtra"	"Treatments"	"Generation"	"Sex"	"Morpholino"	"Exposure"	"FishNumber"	"Tissue"	"RunID"	"Length_mm"	"Weight_g"
"134"	"BaP_0544"	"BaP_0544"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	134	"Fecal"	"s138"	31	0.6
"135"	"BaP_0545"	"BaP_0545"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	135	"Fecal"	"s139"	34	0.69
"136"	"BaP_0546"	"BaP_0546"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	136	"Fecal"	"s140"	35	0.84
"137"	"BaP_0547"	"BaP_0547"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	137	"Fecal"	"s141"	31	0.72
"138"	"BaP_0548"	"BaP_0548"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	138	"Fecal"	"s142"	35	0.93
"139"	"BaP_0651"	"BaP_0651"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	139	"Fecal"	"s143"	37	1.12
"140"	"BaP_0652"	"BaP_0652"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	140	"Fecal"	"s144"	33	0.64
"141"	"BaP_0653"	"BaP_0653"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	141	"Fecal"	"s145"	30	0.65
"142"	"BaP_0654"	"BaP_0654"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	142	"Fecal"	"s146"	33	0.65
"143"	"BaP_0655"	"BaP_0655"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	143	"Fecal"	"s147"	34	0.92
"144"	"BaP_0656"	"BaP_0656"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	144	"Fecal"	"s148"	31	0.62
"145"	"BaP_0757"	"BaP_0757"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	1	"Fecal"	"s149"	42	0.961
"146"	"BaP_0758"	"BaP_0758"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	2	"Fecal"	"s150"	45	1.069
"147"	"BaP_0759"	"BaP_0759"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	3	"Fecal"	"s151"	49	1.088
"148"	"BaP_0760"	"BaP_0760"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	4	"Fecal"	"s152"	48	0.602
"149"	"BaP_0761"	"BaP_0761"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	5	"Fecal"	"s153"	45	1.172
"150"	"BaP_0762"	"BaP_0762"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	6	"Fecal"	"s154"	45	0.846
"151"	"BaP_0763"	"BaP_0763"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	7	"Fecal"	"s155"	42	0.987
"152"	"BaP_0764"	"BaP_0764"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	8	"Fecal"	"s156"	42	0.814
"153"	"BaP_0009"	"BaP_0009"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	9	"Fecal"	"s157"	48	1.547
"154"	"BaP_0010"	"BaP_0010"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	10	"Fecal"	"s158"	41	0.626
"155"	"BaP_0011"	"BaP_0011"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	11	"Fecal"	"s159"	45	0.994
"156"	"BaP_0012"	"BaP_0012"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	12	"Fecal"	"s160"	41	0.899
"157"	"BaP_0013"	"BaP_0013"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	13	"Fecal"	"s161"	43	0.922
"158"	"BaP_0014"	"BaP_0014"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	14	"Fecal"	"s162"	38	0.546
"159"	"BaP_0015"	"BaP_0015"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	15	"Fecal"	"s163"	45	1.289
"160"	"BaP_0016"	"BaP_0016"	"CoMo_DMSO"	"F1"	"M"	"CoMo"	"DMSO"	16	"Fecal"	"s164"	45	0.955
"161"	"BaP_0045"	"BaP_0045"	"CoMo_DMSO"	"F1"	"F"	"CoMo"	"DMSO"	17	"Fecal"	"s165"	46	1.366
