generation,treatment,ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28
F2,AHRMo_BaP,AHR 5µM Bap-Arena 8-07312020-531,3.602,3.44,3.405,4.018,3.988,3.742,3.848,3.917,3.654,4.138,4.157,4.616,4.357,3.958,4.536,4.282,4.595,4.379,4.107,4.421,4.401,4.481,4.864,4.117,4.566,4.127,4.377,4.714,5.478
F2,AHRMo_BaP,AHR 5µM Bap-Arena 8-07312020-307,4.892,5.613,6.029,4.854,5.103,4.167,4.125,4.873,5.8,4.663,4.705,4.848,5.424,5.429,4.145,4.67,3.786,4.402,4.738,4.568,4.892,5.355,5.089,4.649,5.32,5.816,5.902,4.269,4.69
F2,AHRMo_DMSO,AHR DMSO-Arena 1-07312020-1225,3.976,3.428,3.817,3.779,3.885,3.871,3.626,3.776,3.496,4.762,4.301,4.39,4.385,4.457,4.245,3.824,4.741,4.193,4.664,5.264,5.067,3.793,4.437,4.84,5.849,5.201,5.314,4.525,4.52
F2,AHRMo_DMSO,AHR DMSO-Arena 1-08032020-1238,4.339,4.61,4.258,4.269,4.268,4.723,4.108,4.48,4.678,4.227,4.26,3.294,3.515,3.602,4.579,4.119,3.769,3.981,3.869,4.621,4.045,4.001,4.364,4.634,4.416,3.854,3.447,4.45,4.324
F2,AHRMo_DMSO,AHR DMSO-Arena 2-07312020-131,4.278,4.859,4.497,3.703,5.095,4.715,4.53,4.568,4.437,4.517,4.883,4.523,4.761,5.006,4.896,4.298,5.154,4.511,5.059,4.839,5.364,4.865,5.036,4.915,5.273,4.787,4.776,5.241,5.42
F2,AHRMo_DMSO,AHR DMSO-Arena 3-07312020-531,3.533,3.766,3.72,3.645,3.442,3.948,3.667,3.689,3.546,4.187,3.771,4.201,3.557,3.702,3.518,3.842,3.21,4.137,4.259,4.461,3.822,3.683,4.105,4.332,5.056,5.305,4.537,4.744,4.688
F2,AHRMo_DMSO,AHR DMSO-Arena 3-07312020-307,3.971,3.515,3.292,3.898,3.758,4.345,4.258,3.949,3.741,4.014,3.827,3.252,3.851,3.871,3.67,3.386,4.494,3.47,4.361,4.326,3.985,3.919,3.869,4.205,4.659,4.492,4.96,4.708,4.189
F2,AHRMo_DMSO,AHR DMSO-Arena 3-08032020-1125,3.563,3.257,3.806,3.037,3.662,3.905,2.893,3.753,3.619,2.948,3.9,4.695,3.774,3.977,4.332,3.544,4.945,3.114,3.171,4.389,4.364,4.037,4.336,4.269,4.497,3.874,4.165,3.664,3.577
F2,AHRMo_DMSO,AHR DMSO-Arena 4-07312020-1135,3.679,3.034,3.4,3.331,3.036,3.578,3.759,3.147,3.934,3.502,3.777,3.697,4.027,3.634,3.923,4.53,4.141,4.355,4.455,4.68,4.842,4.31,4.357,4.804,4.515,5.169,4.386,4.223,4.411
F2,AHRMo_DMSO,AHR DMSO-Arena 4-08032020-1125,4.553,5.264,6.105,6.312,6.27,5.185,5.557,5.133,5.644,5.131,4.628,4.646,4.855,4.684,6.417,6.399,7.02,6.173,5.549,6.004,7.42,5.693,6.067,5.346,6.04,5.505,4.42,6.225,5.57
F2,AHRMo_DMSO,AHR DMSO-Arena 5-07312020-1225,3.064,4.065,3.531,3.346,3.617,4.026,4.319,4.231,4.797,4.516,4.247,4.586,4.137,4.223,3.967,3.951,4.136,4.825,4.433,4.217,3.918,3.771,4.907,4.465,4.974,4.943,4.781,4.493,3.888
F2,AHRMo_DMSO,AHR DMSO-Arena 5-08032020-1238,4.109,3.706,4.057,3.904,4.58,4.033,4.317,4.75,4.35,4.858,3.977,4.022,4.128,4.555,4.954,4.991,4.49,4.814,4.802,4.633,4.713,4.563,5.269,4.668,4.486,4.755,4.523,4.578,4.812
F2,AHRMo_DMSO,AHR DMSO-Arena 6-07312020-131,3.938,3.836,4.196,4.223,4.64,4.493,4.018,3.969,3.88,4.508,4.019,4.495,4.556,4.967,5.204,5.235,5.21,4.195,5.088,4.967,5.045,5.143,4.661,3.662,4.486,4.998,4.777,4.783,5.135
F2,AHRMo_DMSO,AHR DMSO-Arena 7-07312020-531,3.771,4.026,3.798,3.591,3.984,3.757,3.344,3.492,3.576,3.383,3.342,3.696,2.997,3.405,4.019,4.178,3.718,3.696,3.812,3.837,3.973,4.631,4.279,4.106,3.256,2.984,3.826,3.558,3.662
F2,AHRMo_DMSO,AHR DMSO-Arena 7-07312020-307,3.599,3.677,3.77,3.991,4.387,4.174,4.007,3.907,4.236,4.455,4.774,4.221,4.552,4.779,4.671,4.678,5.168,4.355,4.351,4.495,4.027,4.693,4.809,4.624,4.893,4.32,4.668,5.014,3.925
F2,AHRMo_DMSO,AHR DMSO-Arena 8-07312020-1135,3.304,3.504,3.66,3.697,3.604,3.424,3.647,3.748,3.808,3.655,4.546,3.693,3.683,3.835,4.157,4.272,3.748,4.3,4.442,4.2,3.91,4.091,4.315,4.34,4.503,4.279,4.016,3.757,3.744
F2,CoMo _BaP,COMO 5µM Bap-Arena 1-07312020-131,4.677,4.547,4.27,4.224,4.523,4.441,3.57,4.747,4.835,4.795,4.39,4.019,5.153,4.655,4.88,4.997,4.904,5.395,5.275,4.516,5.054,4.862,5.044,4.932,5.163,5.212,4.713,4.47,4.285
F2,CoMo _BaP,COMO 5µM Bap-Arena 1-08032020-1125,4.288,4.375,4.228,4.474,4.487,4.751,4.497,4.714,4.49,4.039,3.65,3.962,3.717,3.646,4.528,4.97,5.068,4.757,4.558,4.397,5.658,5.416,4.948,4.899,3.989,4.769,4.332,4.861,4.729
F2,CoMo _BaP,COMO 5µM Bap-Arena 2-07312020-531,5.481,5.258,4.65,5.779,5.074,4.621,4.658,4.375,4.966,4.278,4.519,4.068,4.597,4.697,3.69,3.889,4.518,3.506,3.232,3.771,3.883,5.283,4.629,4.76,4.232,3.681,5.109,4.702,4.887
